text,label
Netanyahu: U.S.-Israel Alliance is ’About to Get Stronger’ by Breitbart Jerusalem,1
Hillary Clinton has a deep commitment. by no author,1
Visiting McDonald’s With My Grandmother - The New York Times by Christine Ro,0
(VIDEO) Female College Students Protesting Because ‘Trump is a Rapist’ by no author,1
"In New Jersey Student Loan Program, Even Death May Not Bring a Reprieve - The New York Times by Annie Waldman",0
Tiny Dog Was So Aggressive She Wasn’t Allowed To Be Adopted By New Mom by Brianna Acuesta,1
‘Moana’ Has the Second Best Thanksgiving Weekend Opening of All Time - The New York Times by Brooks Barnes,1
Soros Groups Behind Massive Anti-Trump Tax Day Protest Plot by Aaron Klein,1
"Janet Reno, First Woman to Serve as U.S. Attorney General, Dies at 78 - The New York Times by Carl Hulse",0
Germany Proposes Tougher Measures to Combat Terrorism - The New York Times by Alison Smale,0
How Easy-to-hack Voting Machines Endanger Democracy by no author,0
"Dakota Excess Pipeline? Standing Rock Protectors Strip-Searched, Jailed for Days on Minor Charges – Video, Links, and Commentary by Madeline",0
Russian paper of US errors in Syria shakes UN by no author,1
"Nestlé Folds to Consumer Demand, Will Offer Organic Food to Avoid Profit Loss by Michael",1
Robot Preacher Gives Automated Blessings and ’Beams Lights’ from Hands - Breitbart by Charlie Nash,1
Hillary Clinton: American Demagogue by Rixon Stewart,0
Homeless woman protecting Trump’s Hollywood Star gets attacked by big fat guy by Lexi Morgan,1
Henningsen: ‘US Anti-Trump Protests Similar to Soros Color Revolutions Abroad’ by Mike Rivero,1
"Foreigners Have Long Mined Indonesia, but Now There’s an Outcry - The New York Times by Jon Emont",0
"Syrian War Report – November 15, 2016: 500 Militants Were Killed in Clashes in Western Aleppo by The Saker",1
Nuclear Reactor in Norway Leaks Radioactive Iodine by admin,1
Earthquake Leaves a Trail of Destruction in Ecuador - The New York Times by Maggy Ayala and Kirk Semple,0
"Refugees Discover 2 Americas: One That Hates, and One That Heals - The New York Times by Adeel Hassan",0
Snapchat Shares Plummet After Grown-Ups Figure Out How to Use It by Guest,1
Police Drag Anti-Mass Migration Campaigner off Streets for Asking Anti-Islamophobia Protestors Questions by Jack Montgomery,1
Fox Settles With Gretchen Carlson Over Roger Ailes Sex Harassment Claims - The New York Times by Michael M. Grynbaum and John Koblin,0
Obamacare Architect Says It’s Working As Designed! by Michael Ware,1
"Republican Convention, Baton Rouge, Turkey: Your Monday Evening Briefing - The New York Times by Andrea Kannapell and Sandra Stevenson",0
"The Products that Make Men Grow Breasts, Linked to Cancers of the Prostate and Liver by REALdeal",1
Police Report: Migrant Crime Drastically Increased in 2016 by Chris Tomlinson,1
Universe is a hologram/virtual reality - But why? Could it be this? by Biigs,1
The Reverse-Gaslighting of Donald Trump - The New York Times by Susan Dominus,0
The Dark Art of Political Intimidation by IWB,1
"Autofahrer entlarvt geheimen Zahlentrick, mit dem sich jeder Blitzer überlisten lässt by noreply@blogger.com (Der Postillon)",1
The Chronicles of Carlos Danger by No Author,1
Total Desperation Sets In as President Obama Plays the Woman Card by Michael Krieger,1
Hacked emails reveal Hillary funded Trump campaign by K Balakumar,0
Manchester Suicide Bomber Salman Abedi: Son of Libyan Immigrants Who Chanted Arabic Prayers in The Street by Adam Shaw,0
Marcus Mumford after Bundy verdict. by Paula Walker,1
Son of Former Democratic VP Nominee Geraldine Ferraro Is Pardoned for 1988 Cocaine Conviction - Breitbart by Katherine Rodriguez,1
16th century portraits turned into photorealistic pictures by James,1
no title by nepali hercules,1
Former Obama Spox: U.S. ’Absolutely’ Hurt Diplomatically by Obama Failing to Act on Syrian ’Red Line’ Promise - Breitbart by Penny Starr,1
Trump and Peña Nieto Agree to Not Publicly Discuss Wall Payment by Ildefonso Ortiz,1
"He’s ‘Little’ in the Film ‘Moonlight,’ but Big on the Dodgeball Court - The New York Times by Joanna Nikas",0
Trump Reverses Obama’s Last Days Drilling Ban - Breitbart by Michelle Moons,1
Was This An Alien Contact? Scientists Think So – NOT SATIRE (VIDEO) by Grownmangrumbles,0
"Andrzej Wajda, Towering Auteur of Polish Cinema, Dies at 90 - The New York Times by Michael T. Kaufman",0
Watch: Trailer for Don Rickles’ Final Project ’Dinner with Don’ by Daniel Nussbaum,1
House Republicans in Close Races Worry Trump’s Problems May Hurt Them - The New York Times by Emmarie Huetteman,0
Swedish Police Chief Shut Down By Interior Minister After Call to Deport Terror Suspects by Virginia Hale,1
’Liberal Answer to Breitbart News’ Loses CEO Before It Even Launches - Breitbart by Warner Todd Huston,1
Trump Says He Likes Janet Yellen and Supports the Export-Import Bank - Breitbart by John Carney,1
"Thousands Flee Parts of Aleppo, Syria, as Assad’s Forces Gain Ground - The New York Times by Hwaida Saad and Nick Cumming-Bruce",0
New York Toymaker to Sell 1st Transgender Doll Based on Transgender Teen - Breitbart by Katherine Rodriguez,1
‘Jeopardy!’ Champion Dies Before She Could See Her Triumph on TV - The New York Times by Daniel Victor,1
Russia Delivers Another 400 Tons of Humanitarian Aid to Donbass by no author,1
ICE Fights Back Against Fake News on Criminal Alien Arrests by Bob Price,0
"Strange sounds in the air, Florida by no author",1
We Will Not Go Gently Into the Night: The Silent Majority Speaks by Jeremiah Johnson,0
"Bridgewater, World’s Biggest Hedge Fund, Is Said to Be Slowing Hiring - The New York Times by Alexandra Stevenson and Matthew Goldstein",0
UC Berkeley SJWS Build Human Wall to BLock White Students from Campus by PraetorianAZ,1
Sunderland: ’Justice for Chelsey’ March Protests Alleged Police Inaction After Woman Reports Migrant Rape by Jack Montgomery,1
Rules For Rulers (Or How The World Really Works) by Tyler Durden,1
Obama’s Last Battle: His Legacy - The New York Times by Michael Barbaro,1
"Critic of Najib Razak, Malaysian Leader, Gets Prison for 1MDB Disclosure - The New York Times by Richard C. Paddock",0
"Berlin Report: 92 Percent of Left-Wing Activists Live With Parents, One in Three Unemployed - Breitbart by Charlie Nash",1
Bad News For Hillary After Camera Caught Why She Gave Strange Men $300 by Amanda Shea,1
Another Black Swan Hits the U.S. Presidential Election by Michael Krieger,0
University of Lethbridge Is an Indicator that Canada Is on a Downwards Spiral: Interview with Prof. Anthony Hall by Prof. Tony Hall,0
Passengers Escaping Burning American Airlines Jet by no author,1
MEDIA SHAME - These 65 Journalists are Now Presstitutes. Their Madam is Hillary Clinton. by carewemust,1
’Impartial’ BBC Uses ’Nixon Impeachment’ Dog-Whistle After Trump Fires FBI Director by Jack Montgomery,1
"Music World Bands Together Against YouTube, Seeking Change to Law - The New York Times by Ben Sisario",0
no title by AnonVoid (Moderator),1
"Orlando Gunman Used Assault Rifle With Military Roots, Police Say - The New York Times by C. J. Chivers",1
"Cranberry Extract Now Proven to Scramble Bacteria Communication, Cuts Virulence by Heather Callaghan",1
no title by MR,1
"‘We never denied Israel’s right to Jerusalem, Temple Mount’ by Kaitlyn Stegall",1
Mom Fights Back After Son Gets Rejected From Ad Campaign “Because He Has Down’s Syndrome” by Amanda Froelich,1
Beyond the Anti-Trump Protests by Consortiumnews.com,0
"Gorka Smites Haters, Radical Islamists in Jerusalem Post Speech - Breitbart by Joel B. Pollak",1
Teacher Accused of Having Sex with Underage Student Grins in Mugshot by Katherine Rodriguez,1
"Trump Joins Line of Critics of Costly Fighter Jet - The New York Times by Michael D. Shear, Christopher Drew and Isabel Kershner",0
"Bernie Promises To Keep Fighting, Hold Clinton Accountable After She’s Elected (VIDEO) by Richard Marcil",1
Study: Rich People Less Likely to Be Interested In Your Face by no author,1
"After Outcry, Murder Charge Filed in Death of Former N.F.L. Player Joe McKnight - The New York Times by Daniel Victor",1
Living in a 5G World: Wireless Pollution is Getting Out of Control by Lynne Wycherley,0
Polls Show Trump Winning Texas By Landslide by Sean Adl-Tabatabai,1
Russia Announces Plans For Catastrophic New Missile In Preparation For A Clinton Victory by V Saxena,1
Donald Trump Rips Media for ’Wrong’ Russia Meeting Report: ’Never Mentioned the Word Israel’ by Aaron Klein,0
How to Stay Safe at the Airport - The New York Times by Shivani Vora,0
"American Dream, Revisited by shorty",0
Volkswagen Emissions Scandal Inquiry Widens to Top Levels - The New York Times by Jack Ewing,0
Texas Official Bombshell… MASSIVE Group of Trump Voters Pollsters Didn’t Know About by Gabrielle Cintorino,1
Watch: Gorsuch Responds to Charge From Student Accusing Him of Discrimination Against Pregnant Female Lawyers - Breitbart by Breitbart TV,0
Matthews: ’We’re on the Trail’ to ’Impeachment’ With Comey Firing - Breitbart by Ian Hanchett,1
"Comment on Boy says farewell to best friend, 91-year-old World War II vet from next door by Joe by Joe",0
World War 3 The TRUTH about WW3 #NewWorldOrder by Pakalert,1
Donald Trump Wins The Presidency In Historic Mandate Victory As Hillary Clinton Concedes by Geoffrey Grider,1
Putin Mocks Clinton Claim Of Russia Election Meddling: ‘Is U.S. A Banana Republic?’ by Steve Watson,1
The Eternal Struggle of the Empty Nester - The New York Times by Henry Alford,0
"Standing Rock, Trump, Renzi: Your Monday Evening Briefing - The New York Times by Karen Workman and Sandra Stevenson",0
Dangerous Fruit: Mystery of Deadly Outbreaks in India Is Solved - The New York Times by Ellen Barry,0
"Investors Move Next Door, Unsettling a Black Beachside Enclave - The New York Times by John Leland",0
The Abnormal Normal of Nuclear Terror by Consortiumnews.com,0
Syrian Refugee in Germany Gets $390K in Annual Benefits. And It's Because of Who He Takes Care Of by Parker Lee,1
La estación de Calatayud del Ave será un colchón al que saltar desde el tren en marcha by Kike García,1
"New Company Aims To Explore Intersection Of Technology, Other Thing - The Onion - America's Finest News Source by no author",1
Trump World’s Darkest Side by Consortiumnews.com,0
Why Most People Are Deficient In Magnesium: The Signs and What You Can Do by REALdeal,0
Member of liberal elite struggling to pay rent again by no author,1
Dem: Charge Republican Who Took Down Anti-Cop Painting - Breitbart by AWR Hawkins,1
Fierce Homeless Woman Guarding Trump's Star from Future Vandals Flashes 'Trump-Worthy' Reason for It by Virginia Kruta,1
"Clinton Scandal Avalanche: Bombshells Too Numerous to Cover, Too Unspeakable to Mention by William F. Jasper",0
Trump and Betsy DeVos Deliver Disparate Messages in First 100 Days - Breitbart by Dr. Susan Berry,0
Military Veteran Bonus Scandal Might Be Much Worse Than Initially Reported by Activist Post,1
How Salon Gets Away with Deceiving Its Readers | OffGuardian by Investigative Historian Eric Zuesse Is The Author,0
Sen. Chuck Schumer Goes Off on Trump Supporter at Fancy NYC Restaurant by Katherine Rodriguez,1
"When You Have to Go, Japanese Rest Stops Won’t Keep You Waiting - The New York Times by Motoko Rich",1
Votes Being Switched In Multiple States To Clinton by Mikael Thalen,1
Measles Outbreak in Minnesota Within Somali Community Spreads Through State by Michael Patrick Leahy,0
no title by Kaiser Sousa,1
"Texas County Enacts ""Emergency Paper Ballots"" After ""Software Glitch"" In Voting Machines by Tyler Durden",1
Need to Burn Fat? Eat Dinner Early or Skip It to Help Weight Loss by Heather Callaghan,1
Here’s what happened when a Hillary supporting MIT professor decided to analyze her emails… by Michael Krieger,0
"BookCourt, a Literary Cornerstone in Brooklyn, Is Closing - The New York Times by Eli Rosenberg",0
Leaked Audio Of Hillary Clinton Proposing ‘Rigging Election’ by Eddy Lavine,0
"Orlando Medical Examiner: ‘Take a Typical Homicide Scene, Multiply It by 50’ - The New York Times by Frances Robles",1
"DHS Kelly Slams Obama’s Policies, Proclaims ’Sacred Duty’ To Protect America - Breitbart by Neil Munro",1
Syrian boys BANNED from swimming pool after girls as young as NINE sexually assaulted (Pinned) by Dumachii,1
US Supreme Court: Transgender Bathroom in Schools by no author,1
В ООН заявили о намерении доставить гумпомощь в 25 труднодоступных районов Сирии by RT на русском,1
"Police One: Conditioning Britons to ’Run, Hide, Tell’ Does Not Demonstrate Resolve by AWR Hawkins",1
"POLL: What Are We Going To Do With These Women, At All, At All? by Gerry McBride",1
"Israel settlements legal, Trump aide says, playing anti-Iran video message on Mount Zion by admin",1
"The Hill: Priebus, Bannon Trash Reports of Division - Breitbart by Breitbart News",1
Failed weapons systems cost Pentagon $58 billion over two decades by RT,1
Hillary Clinton demands answers and Democrats call foul by Kaitlyn Stegall,1
New bionic eye implant connects directly to brain by Alex Ansary,1
Tiny Homes Banned In U.S. At Increasing Rate As Govt Criminalizes Sustainable Living by Activist Post,1
Judges Inventing New Reasons to Obstruct Donald Trump’s Popular Immigration Reforms - Breitbart by Neil Munro,0
Comment on West Point Academy And Children Are The New Champions For Gay Marriage by para para dinle by para para dinle,1
Megan Fox on ‘Ninja Turtles’ and Female Stereotypes in Film - The New York Times by Melena Ryzik,0
Chicago Tribune Editor Says Facebook’s Anti-Fake News Algorithm is Killing Their Traffic - Breitbart by Allum Bokhari,1
Humans Came Out Of Australia Not Africa by Daily Bell Staff,0
After Debate Duke Says USA becoming Banana Republic by Dr. Patrick Slattery,1
What Are Donald Trump’s Views on Climate Change? Some Clues Emerge - The New York Times by Erica Goode,0
"Yellow Cab, Long a Fixture of City Life, Is for Many a Thing of the Past - The New York Times by Winnie Hu",0
Marine Le Pen Sharpens Attack on Emmanuel Macron in French Debate - The New York Times by Adam Nossiter,0
Mar-a-Lago Neighbors Discover Costs of Trump’s Visits - The New York Times by Jane Smith and Frances Robles,0
Salesforce Rules Out a Bid for Twitter - The New York Times by Michael J. de la Merced and Quentin Hardy,0
Five Reasons Why Belief in Authority is the Most Dangerous Superstition by stevew,0
Newshour panelist cries in joy after being able to hear own voice and complete sentence fully by Ashwin Kumar,1
WORLD WAR 3 Hillary Clinton Foundation Holocaust ISIS Saudi Weapons of Mass Destruction YEMEN by Pakalert,1
University of Wisconsin Students Demand Free Tuition for Black Students by Warner Todd Huston,1
"Make music great again, with these 10 Trumped up album covers by Poke Staff",1
Prescription Painkiller Deaths Dropped 25% in States That Legalized Marijuana by Starkman,1
Colombian Opposition to Peace Deal Feeds Off Gay Rights Backlash - The New York Times by Nicholas Casey,0
"Rodrigo Duterte, Aleppo, Donald Trump: Your Morning Briefing - The New York Times by Charles McDermid",0
Kids on Their Own in Calais: the Tip of an Iceberg-Cold World by Sam Albert,0
Pelosi: Obamacare ’Has Succeeded In Every Way’ - Breitbart by Ian Hanchett,1
"PARIS: After destruction begins on their squatters camps, Muslim illegals scream that they are “humans, not beasts” by BareNakedIslam",1
Indian Teenager Begins a Lonely Climb in Women’s Golf - The New York Times by Lisa D. Mickey,0
PressTV-Scotland warns of Brexit implications by no author,1
"Donald Trump Fires Corey Lewandowski, His Campaign Manager - The New York Times by Maggie Haberman, Alexander Burns and Ashley Parker",0
"Вашингтон не выполняет своих обязательств по борьбе с ""Джебхат ан-Нусра"" by no author",1
Obama's Departure is One Reason to Feel Optimism for Trump's Arrival by Danny Haiphong,0
World wildlife ‘falls by 58% in 40 years’ by Alex Ansary,0
It Took Less Than 12 Hours For Eric Trump To Break The Law On Election Day by April Hamlin,1
Obama: ‘We Cannot Deny the Legacy of Racism’ in Justice System - Breitbart by Charlie Spiering,1
Female Veterans Release Anti-Trump Ad That Will Cripple His Campaign [Watch] by Amanda Froelich,1
A Dream That Survived Life in a War Zone and Life on the Streets - The New York Times by Emily Palmer,0
"Vincent Viola, Nominee for Army Secretary, Drops Out - The New York Times by Susanne Craig",1
Exclusive — A Star Is Born: Rep. Claudia Tenney Celebrates Memorial Day on Rolling Thunder Ride with Rex Tillerson - Breitbart by Matthew Boyle,0
Comment on This is rich: Clinton News Network warns us about “fake news” by Dr. Eowyn by Dr. Eowyn,0
"Obama's DOJ Issued ""Stand Down"" Order on Clinton Foundation Investigation by Daniel Greenfield",1
no title by Gerard Paul Gallon,1
"Refugee Arrivals Decline Sharply under Trump, Says Report by Bob Price",0
Talk Nation Radio: Sonia Kennebeck on the Drone as National Bird by DavidSwanson,1
Southern Poverty Law Center Names Florida-Based Now The End Begins As ‘Active Anti Government Group’ by Geoffrey Grider,1
’The Next Revolution? Steve Hilton is the Original RINO’ by Oliver JJ Lane,0
The Mysterious Metamorphosis of Chuck Close - The New York Times by Wil S. Hylton,0
Spring Weather? Snowstorm? New York Schools to Close on Thursday - The New York Times by Eli Rosenberg and Christopher Mele,1
Death to the Fascist Insect! The SLA and the Cops by Ron Jacobs,0
Ivana Says Young Donald Trump Was A Cry-Baby – Has Anything Changed? (VIDEO) by Carrie MacDonald,1
"Serena Williams and Novak Djokovic Sit Atop U.S. Open Draw, With Injuries Sharing Spotlight - The New York Times by David Waldstein",0
White House: FBI Leaks ‘One of Many’ Reasons Why James Comey Was Fired - Breitbart by Charlie Spiering,1
Saudi commits crimes on global scale with US green light: Houthi by no author,1
"After Senate Filibuster’s Death, Somber Lawmakers Seek Path Forward - The New York Times by Jennifer Steinhauer",0
A Tea Party Congressman Just Called For Armed Uprising If Trump Loses by Colin Taylor,1
Trump’s Harsh Talk With Malcolm Turnbull of Australia Strains Another Alliance - The New York Times by Jane Perlez,0
The New World Order is melting in the heat of its own contradiction by Jonas E. Alexis,0
"After His Claim of Voter Fraud, Trump Vows ‘Major Investigation’ - The New York Times by Michael D. Shear and Peter Baker",0
